tax_rate_scenario,federal_ltcg_rate,niit_rate,state_rate,combined_tax_rate,sale_method,sale_pct,lots_touched,sale_value,basis_sold,realized_gain,effective_gain_pct_of_sale,realized_gain_pct_of_full_embedded_gain,estimated_tax,after_tax_sale_proceeds,harvested_losses_needed_to_fully_offset_gain,gross_overlay_needed_at_10pct_loss_yield,gross_overlay_needed_at_10pct_loss_yield_pct_of_concentrated_mv
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_each_symbol,0.05,8,405273.10349999997,14596.599328423528,390676.50417157647,0.9639833011311013,0.0489128429518841,144940.98304765488,260332.1204523451,390676.50417157647,3906765.0417157644,0.4819916505655506
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_each_symbol,0.1,10,810546.2069999999,24296.413356067,786249.793643933,0.9700246412280517,0.09843876523623034,157249.95872878662,653296.2482712134,786249.793643933,7862497.93643933,0.9700246412280514
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_each_symbol,0.1,10,810546.2069999999,24296.413356067,786249.793643933,0.9700246412280517,0.09843876523623034,187127.45088725604,623418.7561127439,786249.793643933,7862497.93643933,0.9700246412280514
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_each_symbol,0.1,10,810546.2069999999,24296.413356067,786249.793643933,0.9700246412280517,0.09843876523623034,260248.68169614184,550297.5253038581,786249.793643933,7862497.93643933,0.9700246412280514
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_each_symbol,0.1,10,810546.2069999999,24296.413356067,786249.793643933,0.9700246412280517,0.09843876523623034,291698.6734418991,518847.5335581008,786249.793643933,7862497.93643933,0.9700246412280514
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_each_symbol,0.15,12,1215819.3104999997,32485.172081025463,1183334.1384189744,0.9732812500998476,0.14815387220386986,236666.8276837949,979152.4828162048,1183334.1384189744,11833341.384189744,1.459921875149771
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_each_symbol,0.15,12,1215819.3104999997,32485.172081025463,1183334.1384189744,0.9732812500998476,0.14815387220386986,281633.5249437159,934185.7855562838,1183334.1384189744,11833341.384189744,1.459921875149771
Federal + NIIT + 9.3% state placeholder,0.2,0.038,0.093,0.331,tax_aware_each_symbol,0.15,12,1215819.3104999997,32485.172081025463,1183334.1384189744,0.9732812500998476,0.14815387220386986,391683.59981668054,824135.7106833191,1183334.1384189744,11833341.384189744,1.459921875149771
Federal + NIIT + 13.3% state placeholder,0.2,0.038,0.133,0.371,tax_aware_each_symbol,0.15,12,1215819.3104999997,32485.172081025463,1183334.1384189744,0.9732812500998476,0.14815387220386986,439016.9653534395,776802.3451465601,1183334.1384189744,11833341.384189744,1.459921875149771
Federal top LTCG only,0.2,0.0,0.0,0.2,tax_aware_each_symbol,0.2,14,1621092.4139999999,40666.790334572106,1580425.6236654278,0.974913959263909,0.1978698731611736,316085.12473308557,1305007.2892669144,1580425.6236654278,15804256.236654278,1.9498279185278178
Federal top LTCG + NIIT,0.2,0.038,0.0,0.238,tax_aware_each_symbol,0.2,14,1621092.4139999999,40666.790334572106,1580425.6236654278,0.974913959263909,0.1978698731611736,376141.2984323718,1244951.115567628,1580425.6236654278,15804256.236654278,1.9498279185278178
